"","ID","GeneID","GenbankID","OtherID"
"17548","rna17547","408995"," Genbank:XM_006561504.3","GB42577"
"17549","rna17548","408995"," Genbank:NM_001014983.1","GB42577"
"17550","rna17549","102654507"," Genbank:XR_001704279.2)",""
"17551","rna17550","102654507"," Genbank:XR_003305277.1)",""
"17552","rna17551","726106"," Genbank:XM_016914056.2","GB42576"
"17553","rna17552","726106"," Genbank:XM_016914055.2","GB42576"
"17554","rna17553","726106"," Genbank:XM_001121872.5","GB42576"
"17555","rna17554","726106"," Genbank:XM_016914058.2","GB42576"
"17556","rna17555","726106"," Genbank:XM_016914057.2","GB42576"
"17557","rna17556","102654536"," Genbank:XR_409208.3)",""
"17558","rna17557","724138"," Genbank:XM_006567573.3","GB53294"
"17559","rna17558","724138"," Genbank:XM_001119871.5","GB53294"
"17560","rna17559","724138"," Genbank:XM_006567576.3","GB53294"
"17561","rna17560","724138"," Genbank:XM_006567575.3","GB53294"
"17562","rna17561","113218992"," Genbank:XR_003305334.1)",""
"17563","rna17562","724178"," Genbank:XM_001119931.5)",""
"17564","rna17563","102654541"," Genbank:XM_006567471.3)",""
"17565","rna17564","102654585"," Genbank:XM_006567472.3)",""
"17566","rna17565","100578093"," Genbank:XM_026442967.1","GB53491"
"17567","rna17566","102655188"," Genbank:XM_016913877.2)",""
"17568","rna17567","113218993"," Genbank:XM_026442830.1)",""
"17569","rna17568","100576534"," Genbank:XM_026442828.1)",""
"17570","rna17569","725336"," Genbank:XM_016913866.2","GB12094"
"17571","rna17570","725336"," Genbank:XM_026442826.1","GB12094"
"17572","rna17571","725336"," Genbank:XM_006567544.3","GB12094"
"17573","rna17572","725336"," Genbank:XM_006567523.2","GB12094"
"17574","rna17573","725336"," Genbank:XM_006567571.3","GB12094"
"17575","rna17574","725336"," Genbank:XM_016913864.2","GB12094"
"17576","rna17575","725336"," Genbank:XM_026442825.1","GB12094"
"17577","rna17576","725336"," Genbank:XM_016913863.2","GB12094"
